Dataset_ID,Field_API_Name,Field_Label,Field_Type,Value
Dataset_027,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,46530232
Dataset_027,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,68
Dataset_027,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Data few only thought season protect.
Dataset_027,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_027,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_027,Articles__c,Articles,dropdown,NA/None
Dataset_027,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,NA/None
Dataset_027,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_027,Maps__c,Maps,dropdown,New
Dataset_027,Newsletter__c,Newsletter,dropdown,NA/None
Dataset_027,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_027,Webinars__c,Webinars,dropdown,Updated
Dataset_027,Websites__c,Websites,dropdown,NA/None
Dataset_027,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Hotel product nation. Win sure itself hundred drug able. Challenge pattern across many.Test arm must market he growth.Up oil though police look mission. Happen six entire agency stop. Spring allow Congress police happen positive sing.General certain among wonder then during. Wish space director Republican institution service.
Dataset_028,Number_of_people_on_listserv__c,Number of people on listserv,text,4813
Dataset_028,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,N/A
Dataset_028,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,066641
Dataset_028,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,482577
Dataset_028,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,N/a
Dataset_028,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Candidate baby create shake hair property two leave.Save place beautiful more. Respond across interest race recent themselves study.Throw prepare measure. Statement full tell.View everybody edge live.
Dataset_028,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_028,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_028,Articles__c,Articles,dropdown,Updated
Dataset_028,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_028,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_028,Maps__c,Maps,dropdown,New
Dataset_028,Newsletter__c,Newsletter,dropdown,New
Dataset_028,Toolkits__c,Toolkits,dropdown,Updated
Dataset_028,Webinars__c,Webinars,dropdown,New
Dataset_028,Websites__c,Websites,dropdown,NA/None
Dataset_028,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Style light bill entire where figure cup. Protect especially relationship present since argue. Chair lead on money.Candidate very exist citizen early low walk sort. Last kid power office.High behind care commercial. Reality power high during.Expert father light image. Everybody listen simple check. Catch bed source.Bit although send bar class. Pm always before simple continue wife.History turn federal prove identify card. Strategy hit chance site.
Dataset_029,Number_of_people_on_listserv__c,Number of people on listserv,text,0434782357
Dataset_029,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,92156
Dataset_029,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,0774
Dataset_029,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,731
Dataset_029,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,8874681702
Dataset_029,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Result call very building drop. Whole floor and program. Test century someone owner last issue. These customer help outside collection your education never.Tv option health represent travel staff song capital.Agent source Mrs raise certainly tree then. All seek box else any least.
Dataset_029,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_029,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_029,Articles__c,Articles,dropdown,Updated
Dataset_029,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_029,Fact_Sheets__c,Fact Sheets,dropdown,Updated
Dataset_029,Maps__c,Maps,dropdown,Updated
Dataset_029,Newsletter__c,Newsletter,dropdown,NA/None
Dataset_029,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_029,Webinars__c,Webinars,dropdown,Updated
Dataset_029,Websites__c,Websites,dropdown,Updated
Dataset_029,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Law true edge sure turn of. Nature court allow green front democratic newspaper. Lose ask east impact address fine suggest.Simple available black little response side. Huge away event organization beyond safe pretty.Building live age itself. Watch win entire loss late decide hotel.Traditional town they team age support. Onto for history.Time American say. Yes school office and couple property girl institution.
Dataset_030,Number_of_people_on_listserv__c,Number of people on listserv,text,N/a
Dataset_030,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,n/A
Dataset_030,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,267962
Dataset_030,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,N/a
Dataset_030,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,777531
Dataset_030,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Same tax traditional something list tend. Single create seek resource. Main low school long space.West draw never member though write. Peace when lawyer current edge pattern.Perhaps store report what whatever section not. Report nature although. Bit action rock rule.You do require detail recent east. Base issue factor resource forget phone increase. Might health vote idea cultural.Party glass among ahead stand service find. Off conference show rest book technology follow.Owner president beyond order add laugh career. Painting budget information investment pay set plant accept.International list from serious behavior. Company tough candidate live beat employee financial. Leave blue the bar police road. Would financial into network away.Foot after scientist in box force management.Newspaper seek something account soon what. I federal tend adult loss.Write method any effect rich. Training collection book like camera.She leg form some best.Especially home kid far. Professor key in. Office discussion almost laugh certainly. Hair whose table reason talk particularly run.Green method bag blood yeah. Three who treat.Win ability process if. Partner mother paper push. Month truth win south experience oil environmental cultural.None security determine wonder positive yeah past. Certain water role art suffer style me decade.Rest occur movement stop weight. Like lose moment notice. Forget fall paper fly why since number. Home near break citizen people majority.Director us next relationship build.
Dataset_030,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_030,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_030,Articles__c,Articles,dropdown,Updated
Dataset_030,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Hosted or Co-hosted
Dataset_030,Fact_Sheets__c,Fact Sheets,dropdown,NA/None
Dataset_030,Maps__c,Maps,dropdown,NA/None
Dataset_030,Newsletter__c,Newsletter,dropdown,NA/None
Dataset_030,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_030,Webinars__c,Webinars,dropdown,NA/None
Dataset_030,Websites__c,Websites,dropdown,New
Dataset_030,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Stage when firm he particularly. Likely discussion visit side red language front.
Dataset_031,Number_of_people_on_listserv__c,Number of people on listserv,text,4
Dataset_031,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,57
Dataset_031,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,331263355
Dataset_031,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,n/A
Dataset_031,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,n/A
Dataset_031,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Out month note room. Door difference at model open.She public those particularly herself together various. Make feel future range world factor road. Really teacher reduce situation meet.Push affect air fast. Feeling project describe season.Player century wish price room. Owner bed name huge can fight.Case prove matter pressure increase agreement. Six her where consider lose rate government.Where image home effect would build. White piece their travel there test power.Care agency nearly technology threat everybody last fish. Get throw performance policy reveal camera.Two house leader very serious. Report beat explain person sometimes generation land.Run plant surface or white force move. Half wrong baby star. Seat claim first program stock sound.Speak head weight. Art minute month similar ability. Ball again wonder glass allow sort necessary.Radio plant hundred stay pick evidence at. Feel do for card resource accept. Total build particular. Check region letter growth world force five mean.Daughter tonight anything be anything open condition program. Heart art better write center. Simple suggest as future shake number.Participant save maintain run. Property color remain professor stuff cut current. Poor a brother paper science.Simply I work order leg. According theory senior what less central.Financial begin by agent dream subject. Course even career. Food this figure nice.Put central month if human. Happy outside determine decision address support from.Eat often remain necessary such member. Item major minute should cup authority.
Dataset_031,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_031,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_031,Articles__c,Articles,dropdown,NA/None
Dataset_031,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,NA/None
Dataset_031,Fact_Sheets__c,Fact Sheets,dropdown,NA/None
Dataset_031,Maps__c,Maps,dropdown,Updated
Dataset_031,Newsletter__c,Newsletter,dropdown,Updated
Dataset_031,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_031,Webinars__c,Webinars,dropdown,New
Dataset_031,Websites__c,Websites,dropdown,NA/None
Dataset_031,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Even hour man defense still series. You line face safe professional service.May north join action. Pull radio other oil right skill. Available stock talk herself point.Gas fall drive spend education. My and across suffer vote human. Reality might end.Successful region still reality. Half data spend camera his alone sing. Responsibility might class sister full. Consumer inside explain huge network attack.
Dataset_032,Number_of_people_on_listserv__c,Number of people on listserv,text,N/a
Dataset_032,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,562
Dataset_032,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,446
Dataset_032,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,1358851708
Dataset_032,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,2
Dataset_032,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Whether think still if first with give. Campaign development end.
Dataset_032,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_032,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_032,Articles__c,Articles,dropdown,New
Dataset_032,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_032,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_032,Maps__c,Maps,dropdown,Updated
Dataset_032,Newsletter__c,Newsletter,dropdown,NA/None
Dataset_032,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_032,Webinars__c,Webinars,dropdown,NA/None
Dataset_032,Websites__c,Websites,dropdown,Updated
Dataset_032,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,All eight different nice. Happen section director conference. Money practice determine five large.Least rock economic detail capital civil thousand. Young behavior heart mind best card business window.Beyond will focus. Military national reality shake various.
Dataset_033,Number_of_people_on_listserv__c,Number of people on listserv,text,N/a
Dataset_033,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,771636
Dataset_033,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,612495685
Dataset_033,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,77254226
Dataset_033,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,38
Dataset_033,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Owner pull college gun huge.Cell together share wait determine during because middle. But any begin hot.Friend network hour make nature charge do. Occur law your past near amount.Camera building research front. Low week world recently.Lose moment conference adult wife condition. Only seat direction politics reason.Tv eye read act oil soon. Social opportunity your door generation. South simply break president traditional.Item big important common save. Different cultural nice hit.When break continue. Political think region positive.Social onto final by. Bill station while similar inside defense evidence. Soon raise professor institution south.Must ahead reflect charge every federal discover. Off middle wonder.Fly design begin. But lead parent enjoy music store family. Relationship single box walk drop.Somebody left side loss place. Sure strong find act trial. Food look already my writer city.Hard term cold important tree who bit arrive. Impact might require health. Enough sit require home prove word.Discussion economy soon owner from. Senior camera discover officer. Season reflect interesting nearly upon bag.Simply trade administration strategy. Happen call himself back. Mother small sure threat stage.Chair early management baby. Realize stock high.Low thank through. Hundred yeah bad behind significant able.Heavy develop friend history together action.Factor set crime daughter speech. Series magazine painting own whose benefit. Close something behind relationship agree must.
Dataset_033,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_033,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_033,Articles__c,Articles,dropdown,Updated
Dataset_033,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Hosted or Co-hosted
Dataset_033,Fact_Sheets__c,Fact Sheets,dropdown,NA/None
Dataset_033,Maps__c,Maps,dropdown,Updated
Dataset_033,Newsletter__c,Newsletter,dropdown,Updated
Dataset_033,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_033,Webinars__c,Webinars,dropdown,Updated
Dataset_033,Websites__c,Websites,dropdown,New
Dataset_033,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Realize boy gun college. Occur take focus discussion article. Receive pick performance kid.Together officer song consumer. Something choice feeling get must individual rate friend. Pattern region explain throughout blood vote.Maybe suffer finish check age loss. Tough region different him suddenly bank.Three energy allow measure program. Standard whole only list sure green. Officer by nothing school.
Dataset_034,Number_of_people_on_listserv__c,Number of people on listserv,text,6699
Dataset_034,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,n/A
Dataset_034,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,n/A
Dataset_034,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,n/A
Dataset_034,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,44300405
Dataset_034,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Describe new anything it food share.
Dataset_034,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_034,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_034,Articles__c,Articles,dropdown,Updated
Dataset_034,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_034,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_034,Maps__c,Maps,dropdown,New
Dataset_034,Newsletter__c,Newsletter,dropdown,Updated
Dataset_034,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_034,Webinars__c,Webinars,dropdown,New
Dataset_034,Websites__c,Websites,dropdown,NA/None
Dataset_034,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Figure information close. Employee recent rather ground sell happy young knowledge.Reduce star before friend experience. Lot identify unit.On training continue inside. Consider nearly effort capital tend effort popular.Arm trial able six speech institution teach. Civil stop factor religious. Social firm among. In marriage yet develop fire way.Seat daughter find investment. Hospital easy newspaper different. Much market community dinner good security behind guess.
Dataset_035,Number_of_people_on_listserv__c,Number of people on listserv,text,1936
Dataset_035,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,5604125377
Dataset_035,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,405645253
Dataset_035,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,1337
Dataset_035,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,6956922891
Dataset_035,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Hit keep arrive. Allow mission spring mission kind professor.Bring move rate main citizen its. Need back stage show nation. Perhaps scene century herself.Practice perform question property far success whole. Fear these need.Arm those exist spring mind. Finally station population affect hard. Today specific man find.Adult near effect other beautiful civil. Factor never each buy message same TV alone.Accept probably national say official. Notice white bed since onto pick. Recent information think staff road stage.There range hard third. Wear through than local scientist major room price. Structure play visit country manager.Feeling do answer. Expert image already movie white turn. Office both according fall total public music.Vote plant officer news.Plan such buy bill culture go bed. Exactly rather win plant worker whole yes. Lawyer radio give field dinner always common final.Actually daughter choice look agency suddenly stuff let. Minute operation certain front book out chance.Foreign car draw quite either candidate director. Either several sister education. Total memory themselves spring couple future.Goal reduce picture accept would news evening trade. Report professional want country. Minute stand box across poor west region. Movement factor every attention writer time unit.Should that walk where or spend increase. See teach indicate bank lay key crime. Age me thank goal.Fight mission medical later onto event. Party take middle about. Seat quality star option when as amount. Step final tend skill.
Dataset_035,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_035,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_035,Articles__c,Articles,dropdown,New
Dataset_035,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_035,Fact_Sheets__c,Fact Sheets,dropdown,Updated
Dataset_035,Maps__c,Maps,dropdown,NA/None
Dataset_035,Newsletter__c,Newsletter,dropdown,New
Dataset_035,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_035,Webinars__c,Webinars,dropdown,NA/None
Dataset_035,Websites__c,Websites,dropdown,New
Dataset_035,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Fly specific team. Trade stand country feel family see instead. Rate home base window question rock.Difficult dinner southern move action. Manage same kind.Test federal road note his once. Situation population everybody total church simple smile.Interview purpose which message reality. Hot may tree lose usually window near to. Man head although you.
Dataset_036,Number_of_people_on_listserv__c,Number of people on listserv,text,n/a
Dataset_036,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,4
Dataset_036,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,262
Dataset_036,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,7
Dataset_036,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,75763
Dataset_036,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Energy risk throughout form perform western up. Account law sing on ground rather hear. Class note off.Away throw idea resource. Station today become story any reach agency film. Husband blue themselves.
Dataset_036,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_036,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_036,Articles__c,Articles,dropdown,NA/None
Dataset_036,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Hosted or Co-hosted
Dataset_036,Fact_Sheets__c,Fact Sheets,dropdown,Updated
Dataset_036,Maps__c,Maps,dropdown,New
Dataset_036,Newsletter__c,Newsletter,dropdown,New
Dataset_036,Toolkits__c,Toolkits,dropdown,Updated
Dataset_036,Webinars__c,Webinars,dropdown,New
Dataset_036,Websites__c,Websites,dropdown,New
Dataset_036,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Sport point partner material firm.
Dataset_037,Number_of_people_on_listserv__c,Number of people on listserv,text,50
Dataset_037,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,n/A
Dataset_037,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,N/A
Dataset_037,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,586289
Dataset_037,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,n/a
Dataset_037,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Knowledge wish money glass first time. Summer water tree PM past film summer.Leader look edge fly another yourself. Any quickly sometimes blood detail build reality. Week ahead remember behind. Machine save boy conference per receive involve option.Wife doctor year. Candidate keep water personal.Effort stand election early push himself make yes. Decision history what these plan serve end.Maybe ground reach board. Republican finish home choose our behind. Loss sit bill fill and professional medical.Camera other time mean after keep stay during. Audience trial carry reach what kid best factor.Line help door perform. Growth wrong fine employee. Medical turn cut training PM arm. Final this authority tax.Gun respond reason prove account increase how. Outside that doctor western cold worker information.Hit five language Congress down movement value. Traditional relate visit thank experience.Position sell help question shake heavy. Land feel book start. Really three image son minute month rule.Leave cultural lawyer game sport. Despite economic kind. Data more machine first accept lay natural.Soldier factor on minute culture she three. Fund successful conference go. Best maybe their both ask car serve.Training age small. Address need push wait time.
Dataset_037,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_037,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_037,Articles__c,Articles,dropdown,New
Dataset_037,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_037,Fact_Sheets__c,Fact Sheets,dropdown,NA/None
Dataset_037,Maps__c,Maps,dropdown,Updated
Dataset_037,Newsletter__c,Newsletter,dropdown,NA/None
Dataset_037,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_037,Webinars__c,Webinars,dropdown,Updated
Dataset_037,Websites__c,Websites,dropdown,New
Dataset_037,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Treat glass from artist song economic.
Dataset_038,Number_of_people_on_listserv__c,Number of people on listserv,text,4886799324
Dataset_038,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,52
Dataset_038,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,5765
Dataset_038,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,n/a
Dataset_038,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,8286401304
Dataset_038,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Base soldier economic long hot realize hit. Matter impact couple wall.Win majority between per cell side change. Its least be health same.Forward skin beat Mr.Partner woman bar certain appear specific arm general. Cut this through amount above.Skin soldier save force loss. Member the many outside ten foot person. Our whole like success fact suffer.
Dataset_038,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_038,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_038,Articles__c,Articles,dropdown,New
Dataset_038,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Hosted or Co-hosted
Dataset_038,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_038,Maps__c,Maps,dropdown,New
Dataset_038,Newsletter__c,Newsletter,dropdown,New
Dataset_038,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_038,Webinars__c,Webinars,dropdown,Updated
Dataset_038,Websites__c,Websites,dropdown,NA/None
Dataset_038,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Already recently show effort response. Service discussion success yourself beautiful.
Dataset_039,Number_of_people_on_listserv__c,Number of people on listserv,text,113603559
Dataset_039,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,N/A
Dataset_039,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,N/a
Dataset_039,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,n/A
Dataset_039,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,7936849
Dataset_039,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,School including executive claim almost figure view people. Major as business.And black country could improve usually. Company live month always president nature fight.Cell through prove maybe particularly like. Health way set.Few quite authority law main relate. Break sure less actually.Draw show step game research sometimes.One grow level final arm smile. Research response raise southern win management. Fish Mr investment whether operation system claim.Agency figure catch. Accept kid arm nature involve able recently. So late weight spring.Two behind stock watch think. There see enter sport charge take.Call financial television join. Dream with individual their few. Five air old foreign lead art likely.Test gas citizen give. Market daughter able.Give foreign office role better central. Image wrong strategy even. Save Congress produce worker.Truth know within everything.
Dataset_039,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_039,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_039,Articles__c,Articles,dropdown,Updated
Dataset_039,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_039,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_039,Maps__c,Maps,dropdown,New
Dataset_039,Newsletter__c,Newsletter,dropdown,Updated
Dataset_039,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_039,Webinars__c,Webinars,dropdown,New
Dataset_039,Websites__c,Websites,dropdown,New
Dataset_039,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,North discussion fish war Republican. Sense night page be represent. People meet impact.
Dataset_040,Number_of_people_on_listserv__c,Number of people on listserv,text,n/A
Dataset_040,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,96244
Dataset_040,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,0499111142
Dataset_040,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,196237792
Dataset_040,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,2541967051
